Mail Address;GivenName;Surname;DisplayName;SamAccountName;UserPrincipalName;JobTitle;Department;OfficeNumber;Mobile Phone;Fax;Address;City;StateorProvince;Zip or Postal;CountryOrRegion;OU;Password
eugenia.clark@geds.web-connectivity.fr;Eugenia;Clark;Eugenia CLARK;eclark;eclark@scassi.lan;Analyste;IT;1002;33600000000;21721111111;209 Rue Jean Bart;Toulouse;;31670;FR;OU=FR,OU=Utilisateurs,OU=scassi,DC=scassi,DC=local;password
elisabeth.corner@geds.web-connectivity.fr;Elisabeth;Corner;Elisabeth CORNER;ecorner;ecorner@scassi.lan;Technicienne;IT;1003;33600000000;21721111111;210 Rue Jean Bart;Toulouse;;31670;FR;OU=FR,OU=Utilisateurs,OU=scassi,DC=scassi,DC=local;password
john.doe@geds.web-connectivity.fr;John;Doe;John DOE;jdoe;jdoe@scassi.lan;Technicien;IT;1004;33600000000;21721111111;211 Rue Jean Bart;Toulouse;;31670;FR;OU=FR,OU=Utilisateurs,OU=scassi,DC=scassi,DC=local;password
jeff.harris@geds.web-connectivity.fr;Jeff;Harris;Jeff HARRIS;jharris;jharris@scassi.lan;Pentester;IT;1005;33600000000;21721111111;212 Rue Jean Bart;Toulouse;;31670;FR;OU=FR,OU=Utilisateurs,OU=scassi,DC=scassi,DC=local;password
jane.white@geds.web-connectivity.fr;Jane;White;Jane WHITE;jwhite;jwhite@scassi.lan;Administratrice;IT;1006;33600000000;21721111111;213 Rue Jean Bart;Toulouse;;31670;FR;OU=FR,OU=Utilisateurs,OU=scassi,DC=scassi,DC=local;password
kate.fox@geds.web-connectivity.fr;Kate;Fox;Kate FOX;kfox;kfox@scassi.lan;Data Scientist;IT;1007;33600000000;21721111111;214 Rue Jean Bart;Toulouse;;31670;FR;OU=FR,OU=Utilisateurs,OU=scassi,DC=scassi,DC=local;password
lhall@geds.web-connectivity.fr;Lucy;Hall;Lucy HALL;lhall;lhall@scassi.lan;Product Owner;IT;1008;33600000000;21721111111;215 Rue Jean Bart;Toulouse;;31670;FR;OU=FR,OU=Utilisateurs,OU=scassi,DC=scassi,DC=local;password
ltompson@geds.web-connectivity.fr;Linda;Tompson;Linda TOMPSON;ltompson;ltompson@scassi.lan;Developpeur;Dev;1009;33600000000;21721111111;216 Rue Jean Bart;Toulouse;;31670;FR;OU=FR,OU=Utilisateurs,OU=scassi,DC=scassi,DC=local;password
manderson@geds.web-connectivity.fr;Michael;Anderson;Michael ANDERSON;manderson;manderson@scassi.lan;Developpeur;Dev;1010;33600000000;21721111111;217 Rue Jean Bart;Toulouse;;31670;FR;OU=FR,OU=Utilisateurs,OU=scassi,DC=scassi,DC=local;password
mjones@geds.web-connectivity.fr;Monica;Jones;Monica JONES;mjones;mjones@scassi.lan;Developpeur;Dev;1011;33600000000;21721111111;218 Rue Jean Bart;Toulouse;;31670;FR;OU=FR,OU=Utilisateurs,OU=scassi,DC=scassi,DC=local;password
